2025-05-23 11:59:32.936 [info] Starting Python Locator /root/.cursor-server/extensions/ms-python.python-2024.12.3/python-env-tools/bin/pet server
2025-05-23 11:59:35.459 [info] Discovered env: /usr/bin/python3
2025-05-23 11:59:35.459 [info] Discovered env: /bin/python3
2025-05-23 11:59:35.460 [info] Locator Conda took 67.271345ms
2025-05-23 11:59:35.460 [info] Locator Homebrew took 107.489µs
2025-05-23 11:59:35.460 [info] Locator LinuxGlobal took 133.290194ms
2025-05-23 11:59:35.460 [info] Locator PipEnv took 12.26µs
2025-05-23 11:59:35.460 [info] Locator Poetry took 78.734µs
2025-05-23 11:59:35.460 [info] Locator PyEnv took 124.396µs
2025-05-23 11:59:35.460 [info] Locator Venv took 14.176µs
2025-05-23 11:59:35.460 [info] Locator VirtualEnv took 16.495µs
2025-05-23 11:59:35.460 [info] Locator VirtualEnvWrapper took 14.353µs
2025-05-23 11:59:35.460 [info] Locator GlobalVirtualEnvs took 140.439µs
2025-05-23 11:59:35.460 [info] Locator Locators took 145.995667ms
2025-05-23 11:59:35.460 [info] Locator Path took 332.991263ms
2025-05-23 11:59:35.460 [info] Locator Workspaces took 35.929565ms
2025-05-23 11:59:35.460 [info] Refresh completed in 335ms
